Kata,Sentiment
rumah,Netral
menteri,Netral
rumah,Netral
juta,Netral
bagus,Netral
kasih,Netral
makan,Netral
juta,Netral
jiwa,Netral
coba,Netral
zalim,Netral
banget,Netral
sumpah,Netral
setuju,Netral
banget,Netral
proyek,Netral
usir,Netral
masyarakat,Netral
adat,Netral
yaa,Netral
baca,Netral
portal,Netral
berita,Netral
gila,Negatif
ya,Negatif
rumah,Negatif
jabat,Negatif
mending,Negatif
kasih,Negatif
akses,Negatif
didik,Negatif
daerah,Negatif
pelosok,Negatif
biar,Negatif
indonesia,Negatif
cemas,Negatif
berita,Netral
sebenernya,Netral
portal,Netral
berita,Netral
bahas,Netral
cari,Netral
historyku,Netral
gaadaa,Netral
open,Netral
discussion,Netral
yaa,Netral
nerima,Netral
diskusi,Netral
malas,Netral
mahal,Negatif
banget,Negatif
standar,Negatif
nggak,Negatif
juta,Negatif
harga,Negatif
rumah,Negatif
utuh,Negatif
minimal,Negatif
kisar,Negatif
sanggah,Negatif
dikit,Negatif
anggar,Positif
rumah,Positif
jabat,Positif
masyarakat,Positif
indonesia,Positif
sejahtera,Positif
buzzer,Negatif
politik,Negatif
rumah,Negatif
jabat,Negatif
kelas,Negatif
menteri,Negatif
wajar,Negatif
rumah,Negatif
dinas,Negatif
sampe,Negatif
rumah,Negatif
milik,Negatif
negara,Negatif
tinggal,Negatif
menteri,Negatif
rumah,Negatif
dinas,Negatif
bangun,Negatif
sorot,Negatif
negara,Negatif
mohon,Negatif
maaf,Negatif
juta,Negatif
rumah,Negatif
kaya,Negatif
daerah,Negatif
tanah,Negatif
juta,Negatif
tanah,Negatif
bangun,Negatif
program,Positif
kembang,Positif
kota,Positif
jakarta,Positif
reasonable,Positif
biar,Positif
orang,Positif
jakarta,Positif
cari,Positif
kerja,Positif
nikmat,Positif
transportasi,Positif
kali,Negatif
jumlah,Negatif
rumah,Negatif
ratus,Negatif
perbaikin,Negatif
sistem,Negatif
layan,Negatif
bangun,Negatif
layan,Negatif
masyarakat,Negatif
rata,Negatif
benerin,Negatif
sekolah,Negatif
duga,Negatif
moga,Negatif
salah,Negatif
duga,Negatif
kongkalikong,Negatif
total,Negatif
bangun,Negatif
rumah,Negatif
sampe,Negatif
jauh,Negatif
bawah,Negatif
moga,Negatif
bener,Negatif
duga,Negatif
rumah,Netral
juta,Netral
menteri,Netral
model,Netral
petak,Netral
kah,Netral
iya,Netral
bikin,Netral
ikn,Netral
mahasiswa,Negatif
turut,Negatif
proyek,Negatif
potensi,Negatif
korupsi,Negatif
ugalugalan,Negatif
dana,Negatif
alih,Negatif
bangun,Negatif
sekolah,Negatif
daerah,Negatif
dalam,Negatif
batas,Negatif
baik,Negatif
sekolah,Negatif
puskesmas,Negatif
rusak,Negatif
indonesia,Negatif
dampak,Negatif
banding,Netral
nyoblos,Netral
prabroro,Netral
anisa,Netral
simak,Netral
paham,Netral
tim,Netral
nyimak,Netral
urgent,Negatif
biaya,Negatif
kota,Negatif
pindah,Negatif
kota,Negatif
ada,Negatif
maju,Negatif
jakarta,Negatif
lahan,Negatif
korupsi,Negatif
rawan,Negatif
kena,Negatif
isu,Negatif
lingkung,Negatif
hutan,Negatif
kalimantan,Negatif
biar,Negatif
hutan,Negatif
lindung,Negatif
sesuai,Negatif
dilaksanain,Negatif
bilang,Negatif
merta,Negatif
biar,Negatif
java,Negatif
central,Negatif
asli,Negatif
simbol,Negatif
perata,Negatif
bikin,Negatif
rumah,Negatif
jabat,Negatif
satu,Negatif
warga,Negatif
beli,Negatif
air,Negatif
bersih,Negatif
pake,Negatif
ikn,Negatif
mending,Negatif
kota,Negatif
kasih,Negatif
proyek,Negatif
strategis,Negatif
negara,Negatif
kaya,Negatif
solo,Negatif
biar,Negatif
kembang,Negatif
